"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"checking open cart acc page url ...","17","accPageURLTest","Opencart App Test Regression Suite","Mon May 26 00:39:59 UTC 2025","passed","Mon May 26 00:39:59 UTC 2025","com.qa.opencart.tests.AccountsPageTest","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","accPageURLTest"
"","2","WIP -- forgot pwd check","Default suite","Fri May 09 07:09:26 UTC 2025","unknown","Fri May 09 07:09:26 UTC 2025","com.qa.opencart.tests.LoginPageTest","Default test","com.qa.opencart.tests.LoginPageTest","forgotPwd"
"checking open cart login page title...","0","checking login title","Default suite","Fri May 09 07:09:26 UTC 2025","skipped","Fri May 09 07:09:26 UTC 2025","com.qa.opencart.tests.LoginPageTest","Default test","com.qa.opencart.tests.LoginPageTest","loginPageTitleTest"
"check user is able to login with valid user credentials...","1","login with valid credentials","Default suite","Fri May 09 07:09:26 UTC 2025","skipped","Fri May 09 07:09:26 UTC 2025","com.qa.opencart.tests.LoginPageTest","Default test","com.qa.opencart.tests.LoginPageTest","doLoginTest"
"checking open cart login page url...","17","checking login page url","Opencart App Test Regression Suite","Mon May 26 00:40:02 UTC 2025","passed","Mon May 26 00:40:02 UTC 2025","com.qa.opencart.tests.LoginPageTest","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","loginPageURLTest"
"","2","WIP -- forgot pwd check","Opencart App Test Regression Suite","Mon May 26 00:39:48 UTC 2025","unknown","Mon May 26 00:39:48 UTC 2025","com.qa.opencart.tests.LoginPageTest","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","forgotPwd"
"Check search feature test...","505","searchTest","Opencart App Test Regression Suite","Mon May 26 00:39:57 UTC 2025","broken","Mon May 26 00:39:57 UTC 2025","com.qa.opencart.tests.SearchTest","Search Test_chrome","com.qa.opencart.tests.SearchTest","searchTest"
"checking open cart acc page headers...","42","accPageHeadersTest","Opencart App Test Regression Suite","Mon May 26 00:39:57 UTC 2025","failed","Mon May 26 00:39:57 UTC 2025","com.qa.opencart.tests.AccountsPageTest","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","accPageHeadersTest"
"init the driver and properties","3","setup","Default suite","Fri May 09 07:09:26 UTC 2025","broken","Fri May 09 07:09:26 UTC 2025","com.qa.opencart.tests.LoginPageTest","Default test","com.qa.opencart.tests.LoginPageTest","setup"
"checking open cart login page has forgot pwd link...","137","forgotPwdLinkExistTest","Opencart App Test Regression Suite","Mon May 26 00:39:56 UTC 2025","passed","Mon May 26 00:39:56 UTC 2025","com.qa.opencart.tests.LoginPageTest","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","forgotPwdLinkExistTest"
"check user is able to login with valid user credentials...","820","login with valid credentials","Opencart App Test Regression Suite","Mon May 26 00:40:02 UTC 2025","passed","Mon May 26 00:40:02 UTC 2025","com.qa.opencart.tests.LoginPageTest","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","doLoginTest"
"checking open cart Acc page title...","17","accPageTitleTest","Opencart App Test Regression Suite","Mon May 26 00:39:59 UTC 2025","passed","Mon May 26 00:39:59 UTC 2025","com.qa.opencart.tests.AccountsPageTest","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","accPageTitleTest"
"checking open cart login page title...","5204","checking login title","Opencart App Test Regression Suite","Mon May 26 00:39:56 UTC 2025","failed","Mon May 26 00:40:01 UTC 2025","com.qa.opencart.tests.LoginPageTest","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","loginPageTitleTest"
"checking open cart login page has forgot pwd link...","3","forgotPwdLinkExistTest","Default suite","Fri May 09 07:09:26 UTC 2025","skipped","Fri May 09 07:09:26 UTC 2025","com.qa.opencart.tests.LoginPageTest","Default test","com.qa.opencart.tests.LoginPageTest","forgotPwdLinkExistTest"
"checking open cart login page url...","1","checking login page url","Default suite","Fri May 09 07:09:26 UTC 2025","skipped","Fri May 09 07:09:26 UTC 2025","com.qa.opencart.tests.LoginPageTest","Default test","com.qa.opencart.tests.LoginPageTest","loginPageURLTest"
